Feature,Importance
BldgType_TwnhsE,0.002735%
Electrical_FuseF,0.002621%
FireplaceQu_Po,0.002508%
Exterior2nd_ImStucc,0.002413%
GarageQual_Gd,0.002369%
RoofMatl_Tar&Grv,0.002232%
Neighborhood_MeadowV,0.002073%
Condition1_RRAn,0.001996%
BldgType_2fmCon,0.001965%
MiscFeature_Shed,0.001898%
ExterCond_Ex,0.001671%
Exterior1st_AsbShng,0.001558%
ExterQual_Fa,0.001547%
Foundation_Slab,0.001540%
Functional_Maj1,0.001491%
GarageCond_Fa,0.001456%
HouseStyle_SFoyer,0.001415%
LandSlope_Sev,0.001404%
Neighborhood_BrDale,0.001304%
Neighborhood_NPkVill,0.001242%
BldgType_Twnhs,0.001118%
Exterior2nd_Stone,0.001118%
Condition2_PosA,0.001098%
LotShape_IR3,0.001080%
GarageType_Basment,0.001058%
Exterior1st_WdShing,0.001043%
Heating_GasW,0.000995%
Condition1_PosA,0.000882%
Exterior2nd_AsphShn,0.000841%
SaleCondition_Alloca,0.000823%
GarageType_CarPort,0.000798%
Neighborhood_Blmngtn,0.000794%
GarageType_2Types,0.000777%
SaleType_ConLw,0.000736%
SaleType_CWD,0.000732%
Exterior2nd_AsbShng,0.000700%
Condition2_Feedr,0.000614%
Exterior1st_AsphShn,0.000599%
RoofMatl_WdShngl,0.000588%
SaleType_Con,0.000561%
SaleCondition_AdjLand,0.000545%
GarageQual_Po,0.000533%
HouseStyle_1.5Unf,0.000503%
Functional_Sev,0.000471%
Street_Grvl,0.000458%
Neighborhood_Blueste,0.000424%
BsmtFinType2_GLQ,0.000421%
SaleType_ConLI,0.000402%
Foundation_Stone,0.000388%
GarageCond_Gd,0.000368%
Electrical_FuseP,0.000358%
RoofStyle_Mansard,0.000315%
Condition2_Artery,0.000256%
SaleType_Oth,0.000247%
PoolQC_Ex,0.000238%
Condition1_RRNn,0.000234%
GarageCond_Po,0.000225%
Street_Pave,0.000199%
SaleType_ConLD,0.000199%
HouseStyle_2.5Unf,0.000194%
Foundation_Wood,0.000171%
Fence_MnWw,0.000123%
Heating_Grav,0.000120%
MiscFeature_Gar2,0.000077%
RoofMatl_WdShake,0.000070%
BsmtCond_Po,0.000062%
GarageCond_Ex,0.000048%
Heating_Wall,0.000031%
RoofStyle_Shed,0.000010%
Utilities_AllPub,0.000007%
Exterior1st_CBlock,0.000007%
Exterior2nd_CBlock,0.000005%
MiscFeature_Othr,0.000002%
Condition1_RRNe,0.000001%
HeatingQC_Po,0.000000%
ExterCond_Po,0.000000%
