Feature,Importance
OverallQual,55.30%
GrLivArea,11.85%
TotalBsmtSF,3.44%
BsmtFinSF1,3.31%
GarageCars,3.25%
1stFlrSF,2.28%
2ndFlrSF,1.91%
FullBath,1.80%
LotArea,1.62%
YearBuilt,1.06%
ExterQual_Ex,1.02%
TotRmsAbvGrd,0.96%
GarageArea,0.79%
BsmtExposure_Gd,0.56%
YearRemodAdd,0.56%
MoSold,0.48%
OpenPorchSF,0.47%
KitchenQual_Ex,0.40%
BsmtUnfSF,0.40%
OverallCond,0.38%
MasVnrArea,0.35%
KitchenQual_Gd,0.34%
BsmtQual_Ex,0.33%
PoolArea,0.31%
WoodDeckSF,0.27%
CentralAir_N,0.27%
Condition1_Norm,0.24%
BsmtQual_Gd,0.23%
GarageType_Detchd,0.23%
Fireplaces,0.21%
MSZoning_RM,0.18%
ScreenPorch,0.18%
Neighborhood_StoneBr,0.17%
BsmtExposure_No,0.17%
MSSubClass,0.14%
ExterQual_TA,0.14%
MSZoning_RL,0.14%
BsmtFullBath,0.14%
GarageFinish_Unf,0.13%
HalfBath,0.13%
GarageType_Attchd,0.13%
RoofStyle_Gable,0.13%
BedroomAbvGr,0.13%
EnclosedPorch,0.12%
LotShape_Reg,0.12%
YrSold,0.10%
LandContour_Bnk,0.10%
ExterQual_Gd,0.10%
Exterior1st_VinylSd,0.09%
FireplaceQu_Gd,0.09%
Neighborhood_Crawfor,0.08%
BsmtFinType1_GLQ,0.08%
3SsnPorch,0.08%
BsmtFinSF2,0.07%
SaleCondition_Partial,0.07%
Neighborhood_CollgCr,0.07%
SaleType_New,0.06%
GarageQual_TA,0.06%
RoofStyle_Hip,0.06%
KitchenAbvGr,0.06%
BsmtCond_Gd,0.06%
Exterior2nd_VinylSd,0.05%
HeatingQC_Ex,0.05%
Condition1_Feedr,0.05%
ExterCond_TA,0.05%
LandSlope_Gtl,0.05%
Exterior1st_CemntBd,0.05%
LandContour_HLS,0.05%
KitchenQual_TA,0.05%
SaleCondition_Normal,0.05%
CentralAir_Y,0.04%
LowQualFinSF,0.04%
LotShape_IR1,0.04%
FireplaceQu_TA,0.04%
Condition1_PosN,0.03%
SaleCondition_Abnorml,0.03%
Fence_GdPrv,0.03%
SaleType_WD,0.03%
HeatingQC_Gd,0.03%
MasVnrType_None,0.03%
Alley_Pave,0.03%
LotShape_IR2,0.03%
LotConfig_Inside,0.03%
Exterior1st_BrkFace,0.03%
RoofMatl_WdShngl,0.03%
GarageFinish_RFn,0.03%
BsmtFinType1_LwQ,0.02%
Exterior2nd_HdBoard,0.02%
LotConfig_CulDSac,0.02%
Exterior2nd_Wd Sdng,0.02%
MasVnrType_BrkFace,0.02%
BldgType_Duplex,0.02%
HeatingQC_TA,0.02%
BsmtFinType1_ALQ,0.02%
BsmtFinType2_Rec,0.02%
GarageType_BuiltIn,0.02%
HeatingQC_Fa,0.02%
GarageFinish_Fin,0.02%
Neighborhood_NWAmes,0.02%
MSZoning_C (all),0.02%
HouseStyle_SLvl,0.02%
BsmtCond_TA,0.02%
Neighborhood_NoRidge,0.02%
Neighborhood_NAmes,0.02%
Functional_Typ,0.02%
BsmtExposure_Av,0.02%
Neighborhood_NridgHt,0.02%
BldgType_1Fam,0.02%
Neighborhood_Gilbert,0.02%
Fence_MnPrv,0.02%
ExterCond_Gd,0.02%
Foundation_PConc,0.01%
BsmtFinType1_Rec,0.01%
Exterior1st_MetalSd,0.01%
RoofMatl_Tar&Grv,0.01%
Exterior2nd_Plywood,0.01%
Foundation_CBlock,0.01%
Foundation_BrkTil,0.01%
Neighborhood_SawyerW,0.01%
Exterior2nd_Wd Shng,0.01%
BsmtQual_TA,0.01%
SaleCondition_Alloca,0.01%
Neighborhood_Somerst,0.01%
BsmtFinType1_BLQ,0.01%
Exterior2nd_MetalSd,0.01%
PavedDrive_Y,0.01%
MasVnrType_Stone,0.01%
LandContour_Lvl,0.01%
Exterior2nd_CmentBd,0.01%
LotConfig_Corner,0.01%
GarageCond_TA,0.01%
BsmtFinType1_Unf,0.01%
Exterior1st_Plywood,0.01%
KitchenQual_Fa,0.01%
PoolQC_Gd,0.01%
LandSlope_Mod,0.01%
Fence_GdWo,0.01%
BsmtFinType2_LwQ,0.01%
HouseStyle_2Story,0.01%
Neighborhood_NPkVill,0.01%
BldgType_2fmCon,0.01%
Exterior1st_Wd Sdng,0.01%
Neighborhood_IDOTRR,0.01%
BsmtHalfBath,0.01%
Electrical_FuseF,0.01%
Neighborhood_ClearCr,0.01%
MiscFeature_Shed,0.01%
Exterior1st_HdBoard,0.01%
RoofStyle_Flat,0.01%
Neighborhood_OldTown,0.01%
GarageQual_Fa,0.01%
BsmtExposure_Mn,0.01%
HouseStyle_1.5Fin,0.01%
LotConfig_FR2,0.00%
HouseStyle_1Story,0.00%
Alley_Grvl,0.00%
Neighborhood_BrkSide,0.00%
FireplaceQu_Ex,0.00%
Exterior2nd_AsphShn,0.00%
Neighborhood_Sawyer,0.00%
Street_Pave,0.00%
BsmtQual_Fa,0.00%
BsmtFinType2_ALQ,0.00%
PavedDrive_P,0.00%
Exterior1st_AsbShng,0.00%
Neighborhood_Veenker,0.00%
Heating_GasA,0.00%
Functional_Min2,0.00%
Exterior1st_WdShing,0.00%
Condition1_Artery,0.00%
RoofStyle_Gambrel,0.00%
Neighborhood_Edwards,0.00%
Street_Grvl,0.00%
Neighborhood_Mitchel,0.00%
Electrical_FuseA,0.00%
Condition1_RRAe,0.00%
MSZoning_RH,0.00%
BsmtFinType2_Unf,0.00%
BldgType_TwnhsE,0.00%
MSZoning_FV,0.00%
Functional_Maj2,0.00%
HouseStyle_2.5Unf,0.00%
MiscVal,0.00%
MasVnrType_BrkCmn,0.00%
RoofMatl_CompShg,0.00%
BsmtFinType2_BLQ,0.00%
SaleCondition_Family,0.00%
Electrical_SBrkr,0.00%
LandContour_Low,0.00%
GarageCond_Fa,0.00%
HeatingQC_Po,0.00%
PavedDrive_N,0.00%
Functional_Min1,0.00%
Exterior2nd_ImStucc,0.00%
HouseStyle_SFoyer,0.00%
BsmtCond_Fa,0.00%
Functional_Mod,0.00%
Neighborhood_Timber,0.00%
Condition1_RRAn,0.00%
SaleType_ConLw,0.00%
Foundation_Slab,0.00%
Condition1_RRNn,0.00%
SaleType_Oth,0.00%
SaleType_COD,0.00%
ExterQual_Fa,0.00%
Condition1_PosA,0.00%
FireplaceQu_Fa,0.00%
ExterCond_Fa,0.00%
BsmtFinType2_GLQ,0.00%
Functional_Maj1,0.00%
SaleType_ConLI,0.00%
GarageQual_Po,0.00%
Neighborhood_SWISU,0.00%
HouseStyle_1.5Unf,0.00%
Exterior2nd_BrkFace,0.00%
ExterCond_Po,0.00%
Electrical_FuseP,0.00%
SaleType_CWD,0.00%
BldgType_Twnhs,0.00%
Heating_GasW,0.00%
Condition2_Norm,0.00%
Exterior1st_Stucco,0.00%
Exterior2nd_Stucco,0.00%
FireplaceQu_Po,0.00%
RoofMatl_WdShake,0.00%
Heating_Wall,0.00%
LotShape_IR3,0.00%
Neighborhood_Blmngtn,0.00%
Exterior2nd_CBlock,0.00%
GarageCond_Gd,0.00%
GarageQual_Gd,0.00%
Neighborhood_BrDale,0.00%
Fence_MnWw,0.00%
RoofStyle_Mansard,0.00%
Exterior2nd_AsbShng,0.00%
LotConfig_FR3,0.00%
GarageType_Basment,0.00%
Exterior2nd_Brk Cmn,0.00%
ExterCond_Ex,0.00%
Neighborhood_Blueste,0.00%
Foundation_Wood,0.00%
GarageCond_Po,0.00%
GarageType_CarPort,0.00%
Exterior2nd_Stone,0.00%
LandSlope_Sev,0.00%
Exterior1st_AsphShn,0.00%
Exterior1st_BrkComm,0.00%
Exterior1st_CBlock,0.00%
Utilities_AllPub,0.00%
SaleCondition_AdjLand,0.00%
SaleType_Con,0.00%
SaleType_ConLD,0.00%
Foundation_Stone,0.00%
BsmtCond_Po,0.00%
RoofStyle_Shed,0.00%
MiscFeature_Gar2,0.00%
MiscFeature_Othr,0.00%
Heating_Grav,0.00%
PoolQC_Ex,0.00%
Condition2_Artery,0.00%
Condition2_Feedr,0.00%
Condition2_PosA,0.00%
Condition2_PosN,0.00%
Condition1_RRNe,0.00%
GarageType_2Types,0.00%
Neighborhood_MeadowV,0.00%
Functional_Sev,0.00%
GarageCond_Ex,0.00%
