,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,195538.459375,8332.25494419,195699.9625,2050.06041292
1,193704.88125,8277.61745718,193851.596875,2028.70225552
2,191885.425,8239.93568271,192026.4125,2010.22500688
3,190080.55625,8195.98728024,190222.428125,1985.21744267
4,188311.453125,8132.20940475,188435.73125,1970.5150242
5,186549.13125,8082.66518221,186660.996875,1959.33395677
6,184810.221875,8050.77680246,184914.615625,1946.96333514
7,183072.109375,8006.69141798,183179.325,1935.55190178
8,181392.909375,7972.05909294,181469.484375,1921.84839214
9,179690.5875,7946.08327558,179765.3,1904.16685689
10,178025.1875,7918.25538016,178087.725,1891.96136326
11,176344.79375,7888.82387935,176420.54375,1872.10233569
12,174697.940625,7837.6080778,174763.875,1865.13855711
13,173074.7375,7792.33324441,173127.359375,1857.03137676
14,171474.1375,7751.79306842,171515.646875,1843.27647003
15,169872.109375,7695.70313912,169917.221875,1822.11189158
16,168272.3,7641.22990417,168325.00625,1810.34425671
17,166706.0875,7578.07291212,166754.39375,1795.00627769
18,165171.64375,7522.26275723,165195.35,1785.91675258
19,163648.45,7492.18778609,163655.465625,1765.04333941
20,162129.2375,7449.90975178,162130.46875,1742.28250273
21,160619.809375,7410.0573714,160623.371875,1728.89396537
22,159137.184375,7369.46899916,159131.0375,1713.00324029
23,157650.1625,7316.73993292,157653.821875,1705.6508184
24,156212.0125,7280.31679805,156192.328125,1685.85794753
25,154776.071875,7249.83574384,154737.146875,1666.60156039
26,153341.990625,7233.18007429,153291.65,1643.95627932
27,151906.328125,7205.79789146,151863.478125,1620.48560278
28,150501.125,7164.70048141,150445.028125,1608.93168374
29,149121.35625,7104.4926719,149043.80625,1592.02269822
30,147741.746875,7075.2982759,147660.978125,1572.50833267
31,146376.246875,7048.84208491,146294.2,1547.97442866
32,145048.7125,7007.58376298,144942.6125,1537.66232008
33,143727.034375,6990.25903508,143602.125,1517.36759375
34,142398.259375,6937.63416727,142268.159375,1500.43104778
35,141095.35625,6909.88841021,140950.525,1485.72861563
36,139799.51875,6870.0050928,139639.38125,1474.47791706
37,138528.501562,6841.90471028,138351.209375,1457.99281138
38,137256.214063,6811.61832339,137074.759375,1447.49545885
39,136010.467187,6795.63289753,135812.7375,1439.57863347
40,134766.121875,6760.66066173,134557.190625,1427.28108016
41,133548.829687,6721.45076818,133319.978125,1410.11814767
42,132340.725,6688.49321188,132094.776562,1399.16419136
43,131154.935937,6663.04639645,130887.9125,1385.48385102
44,129966.604688,6646.47898816,129677.651562,1374.13710942
45,128790.5,6597.51069207,128479.460938,1366.49338007
46,127631.290625,6562.56326108,127305.757812,1360.80079218
47,126499.821875,6522.03345527,126143.065625,1352.89309033
48,125352.242187,6485.15937252,124984.9875,1344.22076998
49,124221.823438,6439.91483524,123841.290625,1334.80531593
50,123109.803125,6405.35461522,122705.848438,1330.57330359
51,122006.028125,6374.51090721,121584.232812,1318.58967705
52,120906.095313,6339.65800955,120474.9375,1312.67697859
53,119829.898438,6302.48771439,119371.932813,1300.59629201
54,118759.875,6267.39139466,118280.835937,1291.94883448
55,117694.617188,6233.7767483,117202.834375,1284.89247501
56,116637.70625,6205.48403198,116132.389062,1276.40970659
57,115595.110938,6172.96174269,115073.179687,1260.83396005
58,114562.48125,6136.68782125,114022.892188,1252.82035268
59,113550.814062,6120.08954297,112989.170313,1239.41657339
60,112542.401563,6094.42404252,111960.253125,1227.76239881
61,111549.36875,6083.36721561,110940.3875,1210.49484712
62,110588.46875,6038.93505258,109935.996875,1197.18908074
63,109609.103125,5998.95357939,108938.179687,1191.64722869
64,108640.539062,5979.61969018,107951.114063,1176.29855411
65,107692.1,5954.98198626,106974.160937,1166.4174715
66,106746.123438,5929.36488525,106007.475,1156.12824246
67,105814.757812,5902.42550665,105050.779688,1151.7337289
68,104883.251562,5873.19564392,104103.007813,1143.33941637
69,103973.454688,5845.32853809,103170.11875,1134.92877537
70,103046.479687,5818.96541321,102241.953125,1120.74365587
71,102149.920312,5800.67436469,101323.69375,1119.3900584
72,101274.982813,5761.81398493,100414.714063,1112.36226886
73,100390.859375,5734.19799209,99508.5062502,1102.40916905
74,99518.3109376,5713.17723011,98612.1390624,1095.56743318
75,98653.7953124,5687.91093496,97729.3234374,1088.30839568
76,97789.35,5663.06026034,96854.134375,1075.02081662
77,96953.3390624,5643.2299526,95993.7515626,1064.73332724
78,96124.6953128,5626.53753246,95137.509375,1058.39972554
79,95291.3265624,5608.96257748,94284.6343752,1050.32133746
80,94471.0359376,5591.05943205,93444.5906248,1044.22575324
81,93655.3515624,5558.26312331,92612.3953124,1036.51171917
82,92853.2328126,5526.23649815,91789.4812502,1028.78656218
83,92056.08125,5518.97630726,90970.0125,1013.40391891
84,91270.575,5492.57337667,90164.8015624,1007.02220142
85,90484.096875,5458.74461136,89361.7734374,1005.88968148
86,89727.3406252,5437.12515042,88564.9359372,992.157889601
87,88969.13125,5418.1904762,87783.490625,981.31854924
88,88219.10625,5400.64424719,87008.7312502,968.010872259
89,87484.7046878,5394.34325588,86241.8484376,957.386524086
90,86747.4578124,5386.90931254,85478.6781248,944.255740351
91,86007.2734374,5375.4885723,84720.2593748,934.95444886
92,85284.8421876,5362.84347804,83972.559375,927.227912953
93,84573.64375,5344.7597941,83235.0828126,918.189977061
94,83852.5078124,5332.42075167,82502.5468752,905.630710107
95,83149.5140624,5314.04215069,81780.5937502,899.130140114
96,82461.3375002,5307.13266221,81062.7781248,898.331986344
97,81769.90625,5283.15941035,80352.4203122,891.551488318
98,81085.56875,5267.99060249,79648.8500002,879.124705849
99,80418.2484376,5252.25873661,78954.6578128,877.94866768
100,79739.6078126,5225.24487265,78261.6140624,870.515538448
101,79102.2375,5208.84290931,77578.7203124,863.731964201
102,78456.34375,5181.36723027,76907.3828124,855.468523288
103,77817.4109374,5174.33438818,76245.3203126,845.505643782
104,77184.2015626,5155.72704547,75582.5734374,832.75303289
105,76560.14375,5136.75455264,74924.534375,824.567036495
106,75940.20625,5128.21273725,74283.98125,811.677502462
107,75322.5265624,5099.32912448,73639.8890624,810.170944404
108,74706.9125,5070.01548987,73001.265625,803.247123709
109,74099.9203128,5054.18542726,72363.3171874,798.705553423
110,73518.1640624,5040.6609557,71746.2171876,790.731968338
111,72936.88125,5033.20725746,71130.7281248,784.98350903
112,72356.3937498,5006.09201088,70517.0281248,783.180014369
113,71794.5609376,4993.76118375,69913.753125,777.150315771
114,71226.646094,4983.52640359,69316.1890624,769.268438903
115,70678.8179686,4964.30555207,68727.709375,761.95284835
116,70121.9296874,4946.16907492,68141.2046876,758.54957064
117,69570.4164064,4946.92833293,67561.2484374,747.698691968
118,69018.4023436,4934.28828463,66981.2796876,743.637171134
119,68471.3398438,4924.35502002,66406.0062504,735.126911267
120,67955.6109374,4914.16900607,65842.0671874,731.45720668
121,67432.7359376,4907.19831707,65275.8398438,726.179487591
122,66930.9312498,4893.75444325,64729.477344,716.709939783
123,66407.2179688,4892.00942067,64183.7523438,699.809315466
124,65880.55,4878.68081772,63638.0335936,691.862018022
125,65369.7765626,4863.81434964,63099.1945312,680.985988909
126,64870.0117188,4851.54389989,62565.3992188,672.192692397
127,64376.841406,4848.20249557,62034.8250002,666.575309186
128,63891.7164062,4839.37673313,61512.6429688,659.908951402
129,63412.0640626,4826.59150533,60997.0960938,652.048263746
130,62946.5914062,4821.19520177,60484.2648436,645.610142401
131,62470.2117188,4805.50479449,59979.6421874,640.809685633
132,62008.8984374,4800.771626,59482.221875,634.535104992
133,61552.2140626,4775.91291595,58990.6835938,631.091357759
134,61080.1882812,4757.81139159,58496.7242188,628.90550056
135,60618.1265626,4746.37189316,58013.5507814,623.873107625
136,60167.6195312,4734.58594799,57532.4085938,622.798171334
137,59711.8867188,4722.09005018,57058.3210938,624.930141989
138,59274.0437502,4717.79334306,56585.8507812,618.52465397
139,58837.2976562,4706.06634004,56123.7179688,611.240513681
140,58414.2460934,4696.09205048,55662.8749998,603.456094142
141,58002.141406,4690.03959146,55210.5695312,597.519323391
142,57581.8390624,4680.4080343,54753.2078128,590.295093619
143,57163.2164064,4668.21616087,54302.3890624,586.803058518
144,56760.7203126,4660.89928531,53859.1015628,581.143876532
145,56357.2664064,4654.66619457,53423.1554688,575.060170956
146,55955.400781,4643.39759046,52982.678906,573.512898328
147,55560.7265624,4639.11765703,52555.3929688,572.717686837
148,55162.807031,4635.90400653,52129.246875,564.5890621
149,54784.9328126,4629.08627545,51712.2070312,562.504764702
150,54395.55,4612.92867755,51298.3609374,563.653190341
151,54017.9265626,4601.92771065,50886.4375002,556.989207754
152,53642.4812502,4593.09508007,50473.3117188,555.557826375
153,53283.7007812,4582.46609017,50070.5421872,547.34899704
154,52928.500781,4574.01981706,49671.9804686,537.296207501
155,52573.2679688,4574.62845007,49277.5804688,536.365429857
156,52216.1320312,4568.07615343,48881.8859376,532.067447612
157,51860.2976564,4549.22846361,48494.3296876,528.330588327
158,51513.5335936,4538.41592408,48111.5312498,528.910039931
159,51157.0007814,4522.46830846,47726.68125,526.658713911
160,50814.5500002,4521.0353778,47350.310156,518.776117554
161,50481.1398438,4519.58375546,46978.0804688,514.548254513
162,50152.371875,4502.13633413,46611.646875,510.098521376
163,49819.657031,4487.70993614,46245.11875,508.839791309
164,49494.19375,4471.3917136,45881.4554686,504.535067151
165,49189.9382812,4466.20011725,45522.68125,503.626311721
166,48880.6789062,4465.29748495,45172.6570314,501.296856451
167,48579.4601564,4457.69996072,44821.8390626,497.249546033
168,48259.86875,4449.7150741,44470.9523438,493.45274397
169,47970.4046874,4439.69819916,44127.6601562,492.980051187
170,47663.1109378,4414.37347007,43782.9390624,490.724367202
171,47370.9257814,4414.91385395,43447.8054688,483.466461591
