mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0929351329803,0.00348443984985,-781325969.857,-207813937.271,0.05,0.85,"{'subsample': 0.85, 'colsample_bytree': 0.05}",9,-550883817.719,-210228499.204,-1043959006.03,-208414184.039,-776488191.199,-205018617.727,-473589548.295,-212898862.462,-1061709286.04,-202509522.922,0.00461794292964,3.87585022139e-05,243071845.52,3687749.79233
0.0892718315125,0.003471326828,-753513544.578,-204837704.116,0.05,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.05}",8,-520771301.869,-211925302.455,-947567935.222,-203539553.938,-820151940.701,-201924563.488,-473819170.591,-209778399.899,-1005257374.51,-197020700.802,0.000399462012651,2.29573199058e-05,218114938.807,5402252.27201
0.090847158432,0.00352754592896,-753440466.268,-204667607.969,0.05,0.95,"{'subsample': 0.95, 'colsample_bytree': 0.05}",7,-518382709.78,-204817781.633,-914413452.541,-206372664.839,-738753611.813,-204155530.248,-514150140.259,-209343566.489,-1081502416.95,-198648496.637,0.00479500744537,9.06096753377e-05,221930015.317,3501036.53108
0.105660533905,0.00344967842102,-681935525.641,-153184296.926,0.1,0.85,"{'subsample': 0.85, 'colsample_bytree': 0.1}",3,-459428338.666,-155323138.099,-899564728.058,-153082530.245,-726325876.266,-142950349.277,-438717821.907,-163186720.546,-885640863.308,-151378746.462,0.00133970340952,7.16050024876e-06,199746407.844,6521152.86218
0.106067276001,0.00348968505859,-660489277.114,-152645723.926,0.1,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.1}",1,-479850318.174,-160528592.486,-844024466.096,-151226815.939,-767645091.554,-141148886.915,-419674571.341,-160458314.702,-791251938.406,-149866009.587,0.00454068398244,5.45032172434e-05,174864841.38,7281394.9803
0.102127790451,0.00346059799194,-667153386.019,-150715619.874,0.1,0.95,"{'subsample': 0.95, 'colsample_bytree': 0.1}",2,-470651490.215,-154186103.455,-883238515.909,-148151345.417,-716696187.77,-145636983.784,-435692511.326,-157692166.931,-829488224.873,-147911499.783,0.00181809357493,1.36839802936e-05,183132194.897,4493275.03344
0.121961402893,0.003657579422,-700610901.955,-136681077.539,0.15,0.85,"{'subsample': 0.85, 'colsample_bytree': 0.15}",5,-477491677.429,-140055799.455,-970567290.994,-133149504.967,-698921616.886,-125556077.723,-448715285.553,-146409427.704,-907358638.911,-138234577.847,0.00421005962367,0.000309241010801,213942759.784,6995434.70944
0.118720197678,0.00347118377686,-706154899.824,-134967729.703,0.15,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.15}",6,-409148082.223,-140084047.959,-1109804440.9,-136287238.68,-686278121.238,-123433873.096,-457772900.44,-140920297.345,-867770954.316,-134113191.435,0.000835484952238,1.66418217644e-05,260520423.28,6278709.45096
0.119872570038,0.00346817970276,-685792899.508,-130952688.985,0.15,0.95,"{'subsample': 0.95, 'colsample_bytree': 0.15}",4,-431591892.841,-133579948.159,-966327658.373,-133445335.848,-705783234.517,-122927885.212,-425588235.14,-135965225.11,-899673476.668,-128845050.594,0.00410978860149,1.5046158104e-05,226790160.66,4627762.15339
