mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
11.5462393284,0.00998544692993,0.874458872598,0.95097267569,0.01,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.01}",37,0.885681052875,0.953193125599,0.842646798837,0.951921342167,0.883803942507,0.949519411085,0.885001523741,0.94828952146,0.87523204466,0.951939978139,0.75561003262,0.00300906056235,0.0163651941928,0.00179317230323
19.7554012299,0.0126423835754,0.887441422324,0.969987858132,0.01,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.01}",35,0.897005896191,0.971341421574,0.846945585318,0.970375161989,0.896566595941,0.969648289554,0.901046345702,0.968180033059,0.895749348342,0.970394384484,1.37323152122,0.00415048524356,0.0203562711859,0.00105175474874
11.496553421,0.00919842720032,0.874436385901,0.950932704129,0.01,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.01}",38,0.885845212828,0.953217354356,0.839566815929,0.951861162258,0.88291585231,0.949357987098,0.886683989392,0.948304634773,0.877250958161,0.951922382157,0.433386847474,0.004165246935,0.0177670466094,0.00181370372573
19.3888418198,0.013094997406,0.888296069494,0.969909481616,0.01,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000, 'learning_rate': 0.01}",33,0.896967943208,0.971246922598,0.850715350719,0.970285091085,0.897483861382,0.969544397867,0.898748219153,0.968167673386,0.897664658682,0.970303323142,0.325438283912,0.00445511663537,0.0188235541553,0.00102490234221
11.099323225,0.00665578842163,0.873050394252,0.95078823639,0.01,4,500,"{'min_samples_split': 4, 'n_estimators': 500, 'learning_rate': 0.01}",40,0.885110678436,0.952911602872,0.837023583179,0.951635337812,0.883710457028,0.949274486255,0.883402787828,0.948217565781,0.876087107985,0.951902189227,0.326834916109,0.000910985935851,0.0183088914951,0.00175310831437
19.6096233845,0.0140151500702,0.886196567715,0.969691948095,0.01,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000, 'learning_rate': 0.01}",36,0.896732744845,0.9710734249,0.845222076764,0.969840453799,0.896179043253,0.969335613892,0.897444148597,0.968288174852,0.895509784819,0.969922073034,0.672533744932,0.00323191270904,0.0205235525286,0.00090344263509
10.9395485401,0.00976943969727,0.87391360361,0.950680477435,0.01,5,500,"{'min_samples_split': 5, 'n_estimators': 500, 'learning_rate': 0.01}",39,0.885491283556,0.952818461739,0.839827844779,0.951434823215,0.882179462746,0.949294745912,0.887803470013,0.948067141598,0.87434357102,0.95178721471,0.872132823009,0.00365807791613,0.0176614645504,0.00173865798177
21.5641574383,0.0112267971039,0.888286528938,0.969605831146,0.01,5,1000,"{'min_samples_split': 5, 'n_estimators': 1000, 'learning_rate': 0.01}",34,0.896714328366,0.970944286259,0.849593582765,0.969976101664,0.897303738569,0.969244514218,0.901416301716,0.967973652596,0.896509055847,0.969890600992,1.2481596317,0.00171533416103,0.0194539470842,0.000980225785575
10.2997095585,0.00904040336609,0.889839796212,0.978024829431,0.03,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.03}",31,0.899444427039,0.979011213091,0.849268547225,0.978456423906,0.898968385976,0.977570489513,0.903910504957,0.97662170578,0.897713897305,0.978464314866,0.985005470385,0.00486262670916,0.0204191636947,0.000839946986884
20.0534366131,0.0160083770752,0.893140373311,0.988611105057,0.03,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.03}",24,0.904450302925,0.988868581979,0.845188924404,0.988799735251,0.902542627717,0.988602568482,0.906723347002,0.987922528209,0.906923014573,0.988862111362,1.09469871561,0.00673894245254,0.0240603165601,0.000357516665164
9.35897722244,0.00694680213928,0.891571594025,0.978035164598,0.03,3,500,"{'min_samples_split': 3, 'n_estimators': 500, 'learning_rate': 0.03}",30,0.901723983473,0.978889015388,0.849143307327,0.978522681215,0.900250290223,0.97759208829,0.907356000048,0.976645822225,0.89949568525,0.978526215871,0.294006113125,0.00290255015414,0.0214190936651,0.00081663380039
17.6325344563,0.0140706062317,0.89448226984,0.988617651089,0.03,3,1000,"{'min_samples_split': 3, 'n_estimators': 1000, 'learning_rate': 0.03}",16,0.904296867041,0.989157678574,0.849169573918,0.988774226057,0.905129567247,0.988411267263,0.907156273579,0.987965026283,0.90678147465,0.988780057268,1.07391750213,0.00573455471982,0.022709856758,0.000402749200684
9.1167953968,0.00789756774902,0.892148375486,0.977895920485,0.03,4,500,"{'min_samples_split': 4, 'n_estimators': 500, 'learning_rate': 0.03}",27,0.900569437118,0.978826144837,0.851819567594,0.978430850936,0.898305636897,0.977400370045,0.909137722179,0.976608000555,0.901019540351,0.978214236053,0.610442345733,0.00375757684853,0.0205208335223,0.000794619496032
18.0501995564,0.00998687744141,0.894248540511,0.988616076764,0.03,4,1000,"{'min_samples_split': 4, 'n_estimators': 1000, 'learning_rate': 0.03}",18,0.90494088224,0.989132343497,0.848769402085,0.988907708942,0.903623509364,0.988430102479,0.909254874189,0.987972753647,0.90477398915,0.988637475256,1.08668709171,0.00206139908302,0.0228493728296,0.000400122388553
9.92646994591,0.00783858299255,0.889793071917,0.977601699659,0.03,5,500,"{'min_samples_split': 5, 'n_estimators': 500, 'learning_rate': 0.03}",32,0.901323112212,0.978531128941,0.842571060704,0.977476014822,0.898782012489,0.977567001876,0.901158342576,0.976529611548,0.905253907365,0.977904741106,1.05424508681,0.00233784254509,0.0237323892986,0.000651467027542
17.6893334389,0.0126590251923,0.892042378598,0.988271095355,0.03,5,1000,"{'min_samples_split': 5, 'n_estimators': 1000, 'learning_rate': 0.03}",28,0.904762839777,0.988862517393,0.840357315,0.988258045511,0.903910120586,0.988293923742,0.905568203405,0.987578372843,0.905747774923,0.988362617287,1.39291878535,0.00415101365879,0.0258841030805,0.00040956371976
9.87253975868,0.0123746395111,0.891880506053,0.986346699902,0.05,2,500,"{'min_samples_split': 2, 'n_estimators': 500, 'learning_rate': 0.05}",29,0.903088439674,0.986894168577,0.85249719474,0.986487908227,0.903242580281,0.986462278351,0.902199277806,0.985319325014,0.898472194239,0.986569819338,0.508173087461,0.00337343051281,0.0197927611484,0.000536339736032
17.6655786037,0.0152517795563,0.894109028178,0.994515422927,0.05,2,1000,"{'min_samples_split': 2, 'n_estimators': 1000, 'learning_rate': 0.05}",20,0.904099101487,0.994490506761,0.844439130949,0.994868362505,0.908184904731,0.99448516119,0.910674429782,0.994286719549,0.903284400921,0.994446364628,0.874855068728,0.00428901677616,0.0250126656646,0.000191403875296
