Feature,Importance
BldgType_2fmCon,0.00%
LotShape_IR3,0.00%
Functional_Sev,0.00%
Neighborhood_Veenker,0.00%
Electrical_FuseF,0.00%
Condition1_RRAn,0.00%
Foundation_Slab,0.00%
Heating_GasW,0.00%
Exterior2nd_AsbShng,0.00%
GarageCond_Fa,0.00%
Exterior1st_WdShing,0.00%
Heating_Grav,0.00%
Exterior2nd_ImStucc,0.00%
PoolArea,0.00%
SaleType_Con,0.00%
SaleType_ConLD,0.00%
Exterior2nd_Brk Cmn,0.00%
Neighborhood_NPkVill,0.00%
Exterior1st_AsbShng,0.00%
HouseStyle_SFoyer,0.00%
HouseStyle_2.5Unf,0.00%
SaleType_ConLI,0.00%
RoofMatl_WdShake,0.00%
Condition1_RRNn,0.00%
SaleType_ConLw,0.00%
Neighborhood_BrDale,0.00%
Exterior1st_AsphShn,0.00%
Condition2_PosA,0.00%
HouseStyle_1.5Unf,0.00%
Street_Pave,0.00%
Condition2_Feedr,0.00%
GarageType_2Types,0.00%
GarageQual_Gd,0.00%
Foundation_Stone,0.00%
Fence_MnWw,0.00%
MiscFeature_Gar2,0.00%
Street_Grvl,0.00%
BsmtFinType2_GLQ,0.00%
Neighborhood_Blmngtn,0.00%
GarageQual_Po,0.00%
Condition2_Artery,0.00%
Foundation_Wood,0.00%
RoofStyle_Mansard,0.00%
Exterior2nd_AsphShn,0.00%
BsmtCond_Po,0.00%
SaleCondition_AdjLand,0.00%
RoofStyle_Shed,0.00%
ExterCond_Ex,0.00%
Electrical_FuseP,0.00%
Exterior1st_CBlock,0.00%
Neighborhood_Blueste,0.00%
MiscFeature_Othr,0.00%
GarageCond_Po,0.00%
Exterior2nd_Stone,0.00%
Condition1_RRNe,0.00%
SaleType_Oth,0.00%
HeatingQC_Po,0.00%
Heating_Wall,0.00%
Utilities_AllPub,0.00%
ExterCond_Po,0.00%
Exterior2nd_CBlock,0.00%
PoolQC_Ex,0.00%
GarageCond_Ex,0.00%
