mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_l1_ratio,param_selection,param_tol,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.1307554245,0.032914352417,0.659307542261,0.673621564103,0.01,0.1,cyclic,0.0001,"{'alpha': 0.01, 'selection': 'cyclic', 'tol': 0.0001, 'l1_ratio': 0.1}",141,0.708775874526,0.666220568136,0.678853369045,0.670733788788,0.620596973452,0.669289176261,0.687495661538,0.669505294529,0.600577852887,0.692358992801,0.0466465925935,0.025335464835,0.0413989028406,0.00948597366024
0.242385721207,0.0351068973541,0.659307533937,0.673621555733,0.01,0.1,cyclic,1e-07,"{'alpha': 0.01, 'selection': 'cyclic', 'tol': 1e-07, 'l1_ratio': 0.1}",142,0.708775866463,0.666220560182,0.678853362072,0.670733781818,0.6205969651,0.669289168594,0.687495650293,0.669505285069,0.600577845894,0.692358982999,0.0594669818449,0.0106528248745,0.0413989022619,0.00948597297474
0.273039627075,0.0262224197388,0.659307533828,0.673621555625,0.01,0.1,random,0.0001,"{'alpha': 0.01, 'selection': 'random', 'tol': 0.0001, 'l1_ratio': 0.1}",144,0.708775866111,0.666220559898,0.678853362021,0.670733781767,0.620596965027,0.66928916853,0.687495650438,0.669505285142,0.600577845678,0.692358982789,0.102324941836,0.0216269202739,0.0413989022674,0.00948597293848
0.278302907944,0.0591094493866,0.659307533856,0.673621555657,0.01,0.1,random,1e-07,"{'alpha': 0.01, 'selection': 'random', 'tol': 1e-07, 'l1_ratio': 0.1}",143,0.70877586639,0.66622056011,0.678853362021,0.670733781767,0.620596965021,0.669289168524,0.687495650189,0.669505284978,0.600577845793,0.692358982905,0.0690653176291,0.0404686081133,0.0413989022687,0.00948597296615
0.165166759491,0.0525421619415,0.743239857285,0.764616968065,0.01,0.5,cyclic,0.0001,"{'alpha': 0.01, 'selection': 'cyclic', 'tol': 0.0001, 'l1_ratio': 0.5}",105,0.79648139859,0.757066437928,0.761355468955,0.763348690062,0.714326773564,0.760079544476,0.774937551003,0.759807323477,0.668852035163,0.782782844381,0.0616159221862,0.0268364311554,0.0458987424467,0.00929880627446
0.212660455704,0.0418208122253,0.743239856376,0.764616967306,0.01,0.5,cyclic,1e-07,"{'alpha': 0.01, 'selection': 'cyclic', 'tol': 1e-07, 'l1_ratio': 0.5}",108,0.796481397249,0.757066436819,0.761355466882,0.763348688662,0.714326771457,0.760079543135,0.774937551695,0.75980732307,0.668852035452,0.782782844845,0.0820204962376,0.0168024290512,0.0458987422381,0.00929880684724
0.250282382965,0.0585240840912,0.743239856945,0.764616967778,0.01,0.5,random,0.0001,"{'alpha': 0.01, 'selection': 'random', 'tol': 0.0001, 'l1_ratio': 0.5}",106,0.796481396443,0.75706643613,0.761355467478,0.763348689627,0.71432677252,0.760079543898,0.774937553615,0.759807324421,0.668852035533,0.782782844814,0.0855886576622,0.0341438280994,0.0458987422025,0.00929880670641
0.26019077301,0.0439889907837,0.743239856418,0.764616967239,0.01,0.5,random,1e-07,"{'alpha': 0.01, 'selection': 'random', 'tol': 1e-07, 'l1_ratio': 0.5}",107,0.796481397528,0.757066437115,0.761355467078,0.763348688877,0.714326771784,0.760079543396,0.774937551666,0.759807323035,0.668852034892,0.782782843771,0.135176275775,0.0200963352235,0.0458987424545,0.00929880635158
0.319927215576,0.0782487869263,0.790270965036,0.820303585587,0.01,0.7,cyclic,0.0001,"{'alpha': 0.01, 'selection': 'cyclic', 'tol': 0.0001, 'l1_ratio': 0.7}",89,0.844811153098,0.813326706849,0.805645779749,0.820236798835,0.773230418961,0.816219927087,0.824442032123,0.815427105668,0.702984355032,0.836307389494,0.110183411522,0.0379214351678,0.049562370705,0.00830974560418
0.367150878906,0.0520467758179,0.790270952576,0.820303573627,0.01,0.7,cyclic,1e-07,"{'alpha': 0.01, 'selection': 'cyclic', 'tol': 1e-07, 'l1_ratio': 0.7}",91,0.844811129636,0.813326678045,0.805645777718,0.820236791737,0.773230425943,0.816219931342,0.824441988618,0.815427072953,0.702984354751,0.836307394058,0.181992303566,0.0281535501004,0.0495623590326,0.00830975563188
0.211009120941,0.0649122238159,0.790270952894,0.820303573374,0.01,0.7,random,0.0001,"{'alpha': 0.01, 'selection': 'random', 'tol': 0.0001, 'l1_ratio': 0.7}",90,0.84481112869,0.813326677145,0.805645778063,0.820236791723,0.773230424417,0.816219931117,0.824441991363,0.815427073618,0.702984355728,0.836307393264,0.0498674395785,0.0325664493545,0.0495623589849,0.00830975542135
0.285450363159,0.0518795967102,0.790270952198,0.820303573291,0.01,0.7,random,1e-07,"{'alpha': 0.01, 'selection': 'random', 'tol': 1e-07, 'l1_ratio': 0.7}",92,0.844811129109,0.813326677389,0.805645777835,0.820236791757,0.773230425953,0.816219931335,0.824441987319,0.815427072066,0.70298435456,0.836307393908,0.106911390418,0.0150337517052,0.0495623588117,0.00830975578881
0.537348747253,0.0399477958679,0.834432669904,0.889366257244,0.01,0.9,cyclic,0.0001,"{'alpha': 0.01, 'selection': 'cyclic', 'tol': 0.0001, 'l1_ratio': 0.9}",9,0.885732966645,0.884626001117,0.845545737792,0.890857061114,0.84216428882,0.887910916089,0.875376050027,0.88529187511,0.723129087735,0.898145432791,0.158811946123,0.0210922903035,0.0580794001891,0.00490887064945
