mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
444.291539383,0.271997785568,-706856857.092,-30698421.1816,0.65,0.65,"{'subsample': 0.65, 'colsample_bytree': 0.65}",5,-491442613.048,-32930589.7386,-1160292963.81,-28733461.8878,-787933950.31,-30381296.6695,-484276759.301,-29129154.9331,-610337998.993,-32317602.6789,18.6886793973,0.0192268296778,251967809.197,1675025.65529
445.619061232,0.28465719223,-674765639.757,-29211518.8225,0.65,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.65}",1,-531597645.55,-31517337.9469,-1001579137.74,-30167253.809,-783252684.827,-26130636.921,-458404625.426,-30474814.1527,-598994105.241,-27767551.2829,13.4545615867,0.00919418443502,195768735.984,1969924.96489
438.5315588,0.278815174103,-721142804.06,-27216122.8754,0.65,0.75,"{'subsample': 0.75, 'colsample_bytree': 0.65}",7,-550640152.535,-26669192.9122,-1044093243.81,-28826275.5846,-823702773.944,-26619338.8054,-492632861.528,-28730758.121,-694644988.487,-25235048.9541,10.6772478925,0.0202000082804,198396379.099,1375983.22423
436.878193998,0.271128177643,-726476970.86,-29186405.0537,0.7,0.65,"{'subsample': 0.65, 'colsample_bytree': 0.7}",8,-525916237.754,-31623257.8281,-1033380471.7,-29585818.4419,-844711291.372,-26155587.3188,-533850190.339,-29967181.7155,-694526663.134,-28600179.9643,9.40440513193,0.00991870705125,193142237.626,1802049.42728
445.569034004,0.268043804169,-680309811.459,-28163276.1691,0.7,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.7}",2,-495933382.431,-29374905.893,-1004458625.99,-27877110.3747,-810567245.216,-24969697.6169,-476335668.214,-28886969.2146,-614254135.444,-29707697.7465,4.86475054001,0.0138423484537,200998967.181,1712182.87878
452.159022236,0.289558410645,-690809755.802,-27746600.1864,0.7,0.75,"{'subsample': 0.75, 'colsample_bytree': 0.7}",3,-535359773.195,-27826294.7531,-923526747.542,-27553945.0528,-789743277.964,-25781467.946,-584417961.66,-27988825.5333,-621001018.648,-29582467.647,12.2828912081,0.029810631026,144431444.491,1211139.49636
441.61924901,0.28711438179,-751699248.441,-29038128.7805,0.75,0.65,"{'subsample': 0.65, 'colsample_bytree': 0.75}",9,-484715710.162,-30108145.9951,-1206371277.71,-28696787.2328,-788647062.877,-28462636.2601,-544048590.927,-29945833.1541,-734713600.531,-27977241.2602,10.1000684729,0.0214116605343,254078457.45,841671.205816
444.573364544,0.283145427704,-693329561.542,-27856342.7572,0.75,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.75}",4,-454547097.066,-29899258.5153,-1041461628.94,-27527538.4017,-897516490.463,-26616502.2777,-431295103.55,-27830404.292,-641827487.686,-27408010.2995,15.9364503925,0.0278923484708,241337864.59,1097314.5684
437.639562988,0.144701766968,-718848926.507,-26308815.9387,0.75,0.75,"{'subsample': 0.75, 'colsample_bytree': 0.75}",6,-507498776.627,-28169001.4175,-1084670636.21,-26250149.4888,-859764681.026,-24397280.8347,-512608545.504,-26152365.4646,-629701993.168,-26575282.4878,9.55205198462,0.0821851281161,223084705.659,1201097.78073
