mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.549480056763,0.00541396141052,0.88416815021,0.986759482886,0.5,0.1,ls,3,sqrt,2,10,500,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 2, 'n_estimators': 500, 'max_features': 'sqrt', 'min_samples_split': 10, 'alpha': 0.5, 'max_depth': 3}",185,0.913084065121,0.986791788295,0.851391045466,0.986592611703,0.906222417677,0.986778177573,0.898170708535,0.986455321795,0.851985828698,0.987179515067,0.0375462715306,7.61060188368e-05,0.0269451796569,0.000244204883316
1.07319841385,0.00936961174011,0.892950610527,0.995061719663,0.5,0.1,ls,3,sqrt,2,10,1000,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 2, 'n_estimators': 1000, 'max_features': 'sqrt', 'min_samples_split': 10, 'alpha': 0.5, 'max_depth': 3}",36,0.912395316023,0.995279963914,0.861644756972,0.99487741506,0.90565240513,0.995019312845,0.913658409847,0.994877918812,0.871443065171,0.995253987685,0.0215808956588,0.000328568206884,0.0219646632309,0.00017558292816
5.8868584156,0.00517559051514,0.898375492835,0.994572461154,0.5,0.1,ls,3,auto,1,2,500,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 500, 'max_features': 'auto', 'min_samples_split': 2, 'alpha': 0.5, 'max_depth': 3}",1,0.908473546135,0.994656855317,0.852809215155,0.994974612648,0.907720048016,0.994640933907,0.911653372902,0.993887637604,0.91134358619,0.994702266294,0.121598712311,0.000127602995593,0.0228646293197,0.000363144430213
11.6329997063,0.00858826637268,0.896496256253,0.99881327862,0.5,0.1,ls,3,auto,1,2,1000,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 1000, 'max_features': 'auto', 'min_samples_split': 2, 'alpha': 0.5, 'max_depth': 3}",7,0.907184864689,0.998837304575,0.843819525979,0.998927356457,0.908790952723,0.998819844278,0.913456065743,0.998688931516,0.909374658758,0.998792956272,0.241413510133,0.000154631710412,0.0264532362742,7.68235736816e-05
5.64158844948,0.00506153106689,0.897985065213,0.994505460822,0.5,0.1,ls,3,auto,1,5,500,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 500, 'max_features': 'auto', 'min_samples_split': 5, 'alpha': 0.5, 'max_depth': 3}",3,0.910416988184,0.994807690128,0.846774979325,0.994399398703,0.910598811409,0.994384712174,0.910209853112,0.994422021759,0.912058411835,0.994513481348,0.155262341845,0.000178259409338,0.0256463508811,0.000157606071331
11.3088507652,0.00847682952881,0.89745732643,0.998786936451,0.5,0.1,ls,3,auto,1,5,1000,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 1000, 'max_features': 'auto', 'min_samples_split': 5, 'alpha': 0.5, 'max_depth': 3}",5,0.910499697997,0.998792529365,0.862430160943,0.998887676584,0.908628429911,0.998800057879,0.898635266306,0.998705335238,0.907168886629,0.998749083192,0.20359257656,0.000162099429584,0.0180004663148,6.07349227943e-05
5.49075832367,0.00501403808594,0.894578786685,0.993979779064,0.5,0.1,ls,3,auto,1,10,500,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 500, 'max_features': 'auto', 'min_samples_split': 10, 'alpha': 0.5, 'max_depth': 3}",19,0.915117432822,0.994120997564,0.839208217276,0.994220860633,0.912462531134,0.994024737011,0.899848351877,0.993601547869,0.906377510398,0.993930752243,0.10696714382,0.000105744012849,0.0282172925333,0.000212389581023
11.2933082581,0.012239408493,0.894928077148,0.998551101,0.5,0.1,ls,3,auto,1,10,1000,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 1, 'n_estimators': 1000, 'max_features': 'auto', 'min_samples_split': 10, 'alpha': 0.5, 'max_depth': 3}",12,0.913932394855,0.998616513244,0.83855256623,0.998642168722,0.911352731512,0.998609903311,0.906732011959,0.998357235325,0.904199547366,0.998529684396,0.267942966674,0.00750006044766,0.0284290536558,0.000103992667335
5.86068720818,0.00511455535889,0.894068957959,0.994604301581,0.5,0.1,ls,3,auto,2,2,500,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 2, 'n_estimators': 500, 'max_features': 'auto', 'min_samples_split': 2, 'alpha': 0.5, 'max_depth': 3}",23,0.908184314796,0.994890878603,0.865868989888,0.994700449411,0.905773945876,0.994381087101,0.909757259587,0.994479502603,0.880808847272,0.994569590188,0.120203682847,0.00015793801189,0.0176336404619,0.000177749916896
11.7892098904,0.00868411064148,0.893875224263,0.998837180114,0.5,0.1,ls,3,auto,2,2,1000,"{'loss': 'ls', 'learning_rate': 0.1, 'min_samples_leaf': 2, 'n_estimators': 1000, 'max_features': 'auto', 'min_samples_split': 2, 'alpha': 0.5, 'max_depth': 3}",24,0.903566809393,0.998901198377,0.865044506681,0.998910318395,0.907753814241,0.998782769409,0.911264194441,0.998790025393,0.881812793566,0.998801588996,0.203533719342,0.000126547533034,0.0177011869322,5.63885915729e-05
