,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,195548.090625,8344.50901646,195698.490625,2047.95015123
1,193742.309375,8303.82142104,193864.325,2019.66738887
2,191923.2875,8241.82660625,192032.584375,2008.11671688
3,190118.1,8194.81192328,190228.009375,1994.70357889
4,188346.54375,8148.85437976,188436.23125,1982.77843714
5,186582.065625,8095.98015917,186662.584375,1959.52281407
6,184819.66875,8028.78754585,184913.590625,1942.33954597
7,183089.20625,7952.47587927,183174.525,1925.06230692
8,181386.61875,7904.1666479,181458.234375,1917.51117538
9,179695.284375,7855.43699134,179742.525,1888.36953312
10,178018.321875,7797.385916,178066.834375,1878.49668105
11,176343.103125,7729.56534621,176387.690625,1872.35653336
12,174724.8375,7658.40430297,174743.659375,1860.22537596
13,173108.05,7614.41295449,173112.2625,1843.16370568
14,171511.78125,7567.87407442,171495.75625,1821.55659679
15,169924.159375,7510.64892485,169895.109375,1805.81542564
16,168359.275,7456.62890665,168313.025,1794.21173262
17,166793.559375,7415.81903237,166738.6125,1778.41677188
18,165276.384375,7360.3223972,165189.375,1767.81466706
19,163751.890625,7302.30569725,163645.65,1751.18720992
20,162233.76875,7241.83467018,162117.875,1741.65017821
21,160740.775,7211.39085314,160611.746875,1720.37018254
22,159256.48125,7166.4930994,159118.1875,1715.68321873
23,157789.621875,7118.49744592,157636.53125,1702.27357755
24,156358.309375,7087.0388257,156174.978125,1696.94671576
25,154936.159375,7050.30462912,154724.753125,1680.5410213
26,153520.815625,7007.02834557,153288.896875,1668.83542483
27,152113.6375,6963.8558541,151875.246875,1652.4522856
28,150729.334375,6902.60041674,150465.41875,1649.35641622
29,149350.284375,6858.70368421,149074.60625,1652.15998359
30,147978.75625,6814.1850541,147692.234375,1632.64002776
31,146630.2625,6754.24047691,146332.9125,1621.82130811
32,145288.403125,6713.71486745,144980.0625,1607.20327017
33,143967.071875,6676.96981325,143649.80625,1594.62454625
34,142658.621875,6623.89014099,142313.48125,1589.18621382
35,141353.484375,6586.95125568,140993.78125,1583.31004063
36,140071.83125,6547.66428162,139705.946875,1564.75322818
37,138803.060937,6502.32622106,138419.85625,1560.19835542
38,137545.8375,6460.03382384,137143.2,1547.14584934
39,136287.914062,6431.41043497,135888.7125,1537.56239605
40,135056.523438,6387.53278676,134644.10625,1533.1359312
41,133838.464062,6363.2377183,133417.853125,1521.73962529
42,132622.359375,6331.0655364,132195.379687,1508.65194033
43,131428.382813,6283.00622447,130983.804687,1488.30184206
44,130228.284375,6252.76515482,129775.342188,1478.71221725
45,129045.0375,6202.68967676,128581.470312,1480.34723137
46,127883.951563,6165.31778083,127399.384375,1467.9164858
47,126741.767187,6130.11164736,126229.489062,1453.67484953
48,125616.4375,6089.09125654,125073.895312,1447.39572408
49,124491.859375,6063.67073009,123926.034375,1430.09592535
50,123386.390625,6024.96085877,122800.559375,1413.15402162
51,122271.565625,6003.42460641,121675.554687,1405.10351587
52,121183.75625,5977.39959878,120570.684375,1388.32800147
53,120120.329687,5963.77512377,119474.095313,1376.03860301
54,119067.28125,5923.96739748,118393.760937,1363.16224911
55,118005.107813,5881.48776072,117314.825,1353.14391636
56,116956.75625,5853.79882217,116247.096875,1339.98179306
57,115925.110938,5828.84369384,115186.257812,1322.84865672
58,114886.679687,5793.10691334,114141.520313,1317.35290388
59,113872.465625,5773.72838687,113105.164063,1305.83143055
60,112863.257813,5733.13628234,112073.428125,1306.65157339
61,111869.707812,5714.4175587,111053.009375,1293.23582295
62,110867.326562,5682.6260939,110043.975,1279.64345214
63,109898.470313,5641.62342146,109053.015625,1268.45500564
64,108929.073437,5617.98663407,108071.14375,1254.35288607
65,107995.335937,5603.11037363,107091.210937,1241.70055596
66,107051.145313,5560.11855717,106120.732813,1231.67416748
67,106132.726563,5548.44418267,105176.265625,1218.31547139
68,105202.3125,5515.37982574,104228.473438,1203.7155935
69,104289.145312,5498.18369745,103285.482812,1185.54896645
70,103385.7,5469.88969643,102356.982812,1170.08236556
71,102494.009375,5452.65887122,101440.245313,1156.74659716
72,101606.471875,5425.32407373,100525.965625,1144.41080269
73,100726.832812,5402.67173888,99626.165625,1136.93102006
74,99851.71875,5379.58789719,98728.7718748,1123.10144653
75,98993.4781252,5353.671101,97842.425,1118.5221739
76,98146.1578124,5329.52647303,96963.5328124,1106.02921862
77,97308.7328126,5299.7575702,96099.1593752,1092.80705323
78,96463.56875,5274.25543779,95232.8718752,1084.22539356
79,95657.3046876,5249.69370346,94392.7328126,1068.66259966
80,94833.5093748,5224.594573,93549.3640626,1055.47386239
