,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,195551.046875,8347.74243273,195697.815625,2047.77903307
1,193726.29375,8293.85276224,193861.45625,2033.23202275
2,191899.7375,8249.0381966,192034.925,2003.43316134
3,190107.365625,8197.72245221,190228.65,1984.66414745
4,188341.54375,8137.89373187,188436.046875,1971.06291707
5,186573.646875,8093.55408186,186668.528125,1952.20736584
6,184826.20625,8045.58956733,184918.546875,1938.98063234
7,183093.4125,8004.88741043,183181.009375,1925.79032553
8,181362.25,7978.95373849,181459.884375,1903.78218637
9,179662.5125,7940.29369334,179747.853125,1887.57538655
10,177997.81875,7913.89824959,178067.796875,1864.85237383
11,176360.840625,7865.1054709,176406.815625,1848.77986129
12,174733.290625,7831.34901684,174760.990625,1835.22462712
13,173103.803125,7812.66306355,173126.484375,1819.33194991
14,171485.14375,7747.6674269,171504.984375,1812.45110419
15,169883.56875,7673.91632009,169894.771875,1803.42705964
16,168293.221875,7639.02370599,168298.46875,1781.63811383
17,166745.653125,7582.06737821,166729.128125,1770.09753763
18,165216.853125,7535.37204602,165183.20625,1753.73842355
19,163699.7625,7513.4980204,163647.684375,1748.4871044
20,162203.64375,7482.03730478,162128.321875,1732.31016977
21,160692.378125,7454.26778725,160619.23125,1720.37816196
22,159207.03125,7412.39270702,159128.065625,1705.05864868
23,157740.45,7378.38354031,157642.440625,1686.54158088
24,156296.55,7341.77867065,156188.178125,1676.19927218
25,154846.690625,7280.64223843,154731.38125,1674.41176905
26,153420.365625,7239.53536168,153294.46875,1659.80578268
27,152001.534375,7194.09872561,151871.009375,1653.73727956
28,150607.31875,7160.92348234,150474.028125,1644.21572654
29,149207.221875,7112.19111584,149076.20625,1637.01165337
30,147845.3,7071.86729273,147699.540625,1627.25275906
31,146494.5375,7012.72975684,146335.51875,1616.37286289
32,145162.8625,6972.33710277,144990.878125,1591.23569006
33,143834.0125,6941.13143706,143656.45625,1578.22222969
34,142526.9125,6910.66028491,142327.16875,1568.54388634
35,141239.2625,6839.7137832,141017.93125,1560.417693
36,139955.515625,6800.4347673,139725.54375,1539.24953525
37,138702.940625,6758.44934049,138433.503125,1521.83140041
38,137421.282813,6723.84750165,137160.746875,1507.69117003
39,136156.7375,6698.67837721,135894.790625,1492.52233856
40,134937.359375,6656.24535356,134648.940625,1484.67526438
41,133720.245313,6619.25976089,133406.553125,1463.64651183
42,132516.4625,6575.88159221,132185.15625,1453.75842189
43,131331.001562,6511.06454071,130983.290625,1452.46199308
44,130172.7,6465.51281938,129781.776563,1441.66017527
45,129015.940625,6442.56088729,128596.81875,1430.04038954
46,127851.709375,6432.59545973,127418.951562,1419.47603037
47,126709.110938,6405.9312152,126250.046875,1405.24519907
48,125576.20625,6385.29370831,125098.007813,1395.47772254
49,124455.085937,6357.21779307,123956.140625,1384.86695445
50,123342.275,6332.77695697,122813.482813,1369.24518231
51,122237.576562,6319.04433054,121689.63125,1351.84956213
52,121164.26875,6285.71510363,120582.08125,1340.50511217
53,120090.784375,6241.98959141,119488.575,1318.15332375
54,119032.1625,6212.24124996,118401.0625,1301.08383638
55,118000.65625,6195.14627456,117329.34375,1292.56810544
56,116977.634375,6179.63445033,116259.392187,1274.9610834
57,115945.185937,6153.88731672,115204.5,1261.60930504
58,114924.01875,6133.16380195,114153.7,1257.82063087
59,113913.317187,6107.91950018,113119.49375,1244.50110907
60,112916.515625,6076.72855555,112099.548437,1234.01147242
61,111920.090625,6054.96536497,111076.498438,1223.89257752
62,110965.203125,6041.95471347,110072.128125,1218.8528496
63,109986.632812,6024.53801383,109069.53125,1204.73796096
64,109035.425,5994.79373954,108091.576562,1198.21892312
65,108079.115625,5964.40233925,107114.817188,1189.57527659
66,107108.415625,5917.88989945,106141.353125,1184.79670794
67,106166.884375,5875.99335838,105184.023438,1175.13595071
68,105242.309375,5850.48069397,104232.159375,1168.93325911
69,104315.242188,5833.51886253,103290.126562,1152.01392962
70,103427.2625,5825.08963885,102362.107812,1135.56048026
71,102538.684375,5795.90155665,101438.284375,1137.32226114
72,101655.209375,5778.56188218,100530.421875,1120.48891044
73,100777.28125,5757.87816461,99631.7015626,1104.46020441
74,99903.93125,5728.06314077,98731.1015622,1095.15373155
75,99035.1640628,5694.81618391,97846.0125,1089.43675923
76,98197.009375,5675.41568888,96968.1124998,1079.09708503
77,97364.534375,5642.2691142,96109.440625,1063.46953
78,96527.946875,5607.61698668,95246.025,1054.11338631
79,95715.26875,5584.37221381,94400.3812502,1038.04438982
80,94892.090625,5566.09995702,93559.6953126,1026.98871444
81,94082.0906246,5531.3394676,92726.4093752,1017.31931783
82,93300.53125,5503.78204967,91905.15,1005.69798757
83,92502.6843748,5477.79936822,91086.0953124,999.152101895
84,91706.278125,5450.63354296,90272.7046876,990.540667589
85,90928.7328126,5428.40321988,89467.1406248,986.524846773
86,90163.4203126,5412.55545022,88681.1375,980.89980885
87,89394.2093748,5381.07976741,87887.8296874,977.064960904
88,88642.9640628,5364.17158839,87111.4015624,970.458099005
89,87908.2546874,5354.34226821,86340.2359374,959.459692605
90,87180.9265626,5334.83785479,85585.3953122,948.484307147
