mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_reg_alpha,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
337.766603756,0.264164447784,-675696093.867,-43174223.4676,2.8,{'reg_alpha': 2.8},4,-521340320.56,-44318528.4204,-1007003271.72,-44417428.6909,-787923778.503,-38366786.1409,-455807834.774,-45814488.435,-606405263.777,-42953885.6506,9.03817598724,0.0143079396534,199668359.873,2568501.29664
339.388865995,0.268109798431,-675079875.576,-43009504.2041,3,{'reg_alpha': 3},1,-521340352.133,-44318697.5877,-1007003906.99,-44417589.2736,-784842097.219,-37542557.0713,-455807771.391,-45814643.3034,-606405250.148,-42954033.7847,12.6623395799,0.0109493738189,199325667.614,2879447.31384
337.337160921,0.30712223053,-675079882.501,-43009655.614,3.2,{'reg_alpha': 3.2},2,-521340432.154,-44318842.4141,-1007003671.38,-44417736.7174,-784842244.555,-37542716.9457,-455807642.146,-45814796.2837,-606405422.271,-42954185.7092,7.56307694198,0.0201374323234,199325609.604,2879443.41713
298.899773836,0.181045389175,-675079982.17,-43009889.4757,3.5,{'reg_alpha': 3.5},3,-521340309.507,-44319055.2024,-1007003744.55,-44417990.3377,-784842422.704,-37542933.7369,-455807933.329,-45815045.5715,-606405500.761,-42954422.5302,23.1361559875,0.0899437682429,199325603.039,2879452.90953
