,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,195551.628125,8330.36133409,195712.45,2053.65564455
1,193759.615625,8339.12587102,193907.740625,2025.72745823
2,192006.10625,8307.68880583,192145.509375,2003.92580918
3,190259.303125,8253.95715327,190395.478125,2001.38452103
4,188531.625,8236.79696283,188665.55,1970.59981439
5,186834.740625,8216.41385879,186948.484375,1971.5739504
6,185125.971875,8183.41207837,185223.70625,1953.94873096
7,183420.153125,8159.88058374,183527.165625,1948.31982525
8,181745.19375,8174.41043581,181843.85,1912.23206601
9,180117.271875,8156.58997791,180189.75625,1897.74360849
10,178518.728125,8145.94546909,178566.33125,1866.79656348
11,176878.325,8086.5172538,176921.81875,1864.27633755
12,175269.821875,8073.34900321,175315.71875,1840.39743131
13,173733.559375,8079.25292081,173754.3,1811.39105859
14,172169.41875,8031.63696994,172185.56875,1804.28989975
15,170640.340625,7986.79647865,170625.878125,1792.03200599
16,169145.978125,7994.00154662,169092.984375,1749.17763124
17,167623.903125,7970.55180675,167573.965625,1730.92777133
18,166149.521875,7935.51856353,166094.6625,1728.33875968
19,164644.115625,7905.05766178,164578.046875,1717.44148008
20,163197.734375,7924.67376414,163125.759375,1688.79283331
21,161760.41875,7923.017487,161688.61875,1681.64075625
22,160334.2375,7910.72440634,160268.021875,1653.49655435
23,158900.715625,7859.47554977,158836.84375,1669.5988383
24,157511.18125,7858.69162955,157434.190625,1658.31386202
25,156111.6625,7839.23262179,156022.653125,1629.00477584
26,154758.7875,7822.39606328,154637.084375,1598.21102454
27,153380.51875,7782.86918152,153243.15,1584.74837509
28,152045.825,7786.65066232,151876.69375,1558.18913165
29,150741.903125,7790.95857148,150539.765625,1530.47514946
30,149404.234375,7770.30734072,149217.496875,1527.54664395
31,148096.98125,7770.10735474,147876.840625,1496.60435254
32,146810.21875,7775.81107034,146580.721875,1472.47326119
33,145527.075,7770.08066444,145299.74375,1460.335256
34,144246.2625,7742.06427629,144018.94375,1473.81663304
35,143005.228125,7708.21118139,142766.8625,1474.99097215
36,141743.739063,7656.75602664,141505.68125,1475.49728338
37,140514.696875,7658.1508181,140241.95625,1446.56028547
38,139283.653125,7618.55481761,139017.809375,1449.826695
39,138064.410938,7576.65329966,137780.95,1455.80469122
40,136861.6375,7543.57283206,136598.225,1450.31617352
41,135657.298437,7518.34629135,135397.4125,1439.31030041
42,134473.032813,7488.02645148,134202.88125,1432.11719009
43,133325.46875,7453.6976469,133048.209375,1437.20655706
44,132197.975,7452.21264737,131908.685938,1400.32591121
45,131048.921875,7425.56814544,130754.3375,1397.38209705
46,129912.217188,7403.46731258,129616.275,1388.731807
47,128777.815625,7384.32502031,128490.515625,1371.48451167
48,127661.117187,7351.60729632,127376.401563,1360.77516923
49,126567.5875,7290.75872575,126279.475,1360.39228729
50,125480.489062,7288.74672431,125182.467187,1336.71156435
51,124399.389063,7260.2529353,124082.78125,1330.96759148
52,123353.026562,7233.12017648,123008.423438,1325.20230744
53,122287.425,7199.33673794,121948.692188,1327.97780146
54,121251.607813,7152.50098415,120908.051562,1341.097198
55,120239.49375,7139.14188425,119888.545313,1346.05199653
