mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_reg_alpha,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
349.258201456,0.261963415146,-675079924.258,-43009461.493,2.95,{'reg_alpha': 2.95},5,-521340414.971,-44318655.7806,-1007003958.76,-44417531.3946,-784842202.232,-37542511.9269,-455807791.71,-45814603.9819,-606405253.612,-42954004.3811,11.5545417662,0.019177179739,199325682.021,2879447.44568
361.061005306,0.271629142761,-675079875.576,-43009504.2041,3,{'reg_alpha': 3},4,-521340352.133,-44318697.5877,-1007003906.99,-44417589.2736,-784842097.219,-37542557.0713,-455807771.391,-45814643.3034,-606405250.148,-42954033.7847,25.4766505846,0.00836556818464,199325667.614,2879447.31384
354.335950708,0.262325048447,-675079864.002,-43009538.5956,3.05,{'reg_alpha': 3.05},3,-521340307.11,-44318737.5725,-1007003775.35,-44417614.5696,-784842202.174,-37542584.1324,-455807801.26,-45814686.2293,-606405234.12,-42954070.4743,15.7450846068,0.00782336522965,199325636.808,2879451.37038
353.683860207,0.272667598724,-675079857.258,-43009582.7206,3.1,{'reg_alpha': 3.1},2,-521340394.773,-44318763.4793,-1007003813.63,-44417663.7996,-784842425.095,-37542641.0168,-455807633.878,-45814720.6585,-606405018.909,-42954124.6489,10.6185254172,0.0143196068308,199325712.244,2879443.44015
290.26264019,0.162680578232,-675079815.678,-43009620.4376,3.15,{'reg_alpha': 3.15},1,-521340406.438,-44318798.5786,-1007003614.5,-44417697.4064,-784842117.504,-37542685.614,-455807611.284,-45814764.6505,-606405328.664,-42954155.9386,101.91858909,0.095359289657,199325593.874,2879441.43496
