mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_min_child_weight,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
329.580042267,0.370224189758,-696815525.397,-119735169.686,3,1,"{'max_depth': 3, 'min_child_weight': 1}",2,-493442956.558,-118071613.926,-952246424.151,-115969832.92,-736952427.574,-113878068.779,-596204624.277,-127762582.438,-705231194.424,-122993750.365,3.70585672903,0.0243956337724,153889371.706,5026102.13353
327.436184597,0.396241617203,-700752368.727,-130130596.181,3,3,"{'max_depth': 3, 'min_child_weight': 3}",3,-500488021.682,-131370570.993,-924001878.279,-128521062.927,-772067553.933,-119573578.266,-441637620.943,-137741849.384,-865566768.796,-133445919.338,1.75353723365,0.0173071718823,194595090.813,6074558.5033
318.593700123,0.49528222084,-765221258.6,-146013376.376,3,5,"{'max_depth': 3, 'min_child_weight': 5}",10,-535811178.757,-147137295.336,-1104240357.71,-145157196.615,-878572934.653,-133974507.265,-451453940.551,-156092504.256,-856027881.331,-147705378.407,4.49391787192,0.164554254311,239627756.893,7090589.49282
587.992135429,0.393609571457,-695944313.939,-27386273.7303,5,1,"{'max_depth': 5, 'min_child_weight': 1}",1,-488843865.897,-27066731.9083,-1032550651.29,-28009461.217,-769433301.796,-25577134.7972,-515986324.797,-27724329.7749,-672907425.918,-28553710.9543,4.86798276548,0.0230274073545,197236218.441,1023781.70133
568.444459009,0.390426158905,-749169340.036,-29518727.9675,5,3,"{'max_depth': 5, 'min_child_weight': 3}",8,-569445366.758,-29533592.1083,-984414697.097,-31592498.8522,-822480271.593,-27274810.8093,-396095304.76,-30261362.8963,-973411059.973,-28931375.1715,4.22134915492,0.0341789597119,231499978.67,1430552.39558
545.582425213,0.391676664352,-756771278.181,-39433810.8482,5,5,"{'max_depth': 5, 'min_child_weight': 5}",9,-547384114.132,-41575040.2927,-1068632248.52,-41703033.213,-844883088.851,-36444381.8855,-376362608.075,-39079552.3457,-946594331.33,-38367046.5043,4.96673598906,0.0554128706755,256751821.13,1996717.52884
959.895588017,0.41443862915,-718806340.0,-4372071.77437,7,1,"{'max_depth': 7, 'min_child_weight': 1}",6,-452868168.554,-4174484.44412,-1056924702.32,-4468162.31008,-834012882.264,-4127350.80077,-591974434.609,-4536398.66719,-658251512.257,-4553962.6497,8.15907691579,0.0447439240211,208841042.296,183439.427212
902.92276721,0.404871606827,-707369015.323,-6102581.5499,7,3,"{'max_depth': 7, 'min_child_weight': 3}",4,-559280090.37,-5828408.03269,-932886261.869,-6014523.39439,-781960874.149,-6080433.26631,-379991554.118,-4460060.08388,-882726296.11,-8129482.97224,24.6630504041,0.0757982210435,207980038.281,1173850.24982
765.309662199,0.399721384048,-771315250.811,-15044457.5011,7,5,"{'max_depth': 7, 'min_child_weight': 5}",11,-540082758.034,-12814418.7964,-1228318171.79,-16615167.314,-823314581.093,-13840685.2894,-366064731.142,-11906391.2334,-898796011.999,-20045624.8723,18.4521697501,0.0395996180125,298497368.166,2957985.95178
1367.52917261,0.361290645599,-714836215.643,-614913.748063,9,1,"{'max_depth': 9, 'min_child_weight': 1}",5,-494864090.462,-470274.505128,-953158620.804,-557462.341546,-857246573.835,-591877.305136,-549699101.418,-603386.699137,-719212691.696,-851567.889368,32.3206849401,0.0253441615357,174788692.321,127192.694652
1118.24608479,0.341402053833,-735352590.413,-1885907.85315,9,3,"{'max_depth': 9, 'min_child_weight': 3}",7,-576177413.592,-1560446.74858,-1003101808.85,-1956714.64667,-814896087.715,-1812213.88314,-388453844.074,-1204493.59138,-894133797.831,-2895670.39596,93.5857444055,0.0634672722183,223116006.102,565741.128579
807.942948198,0.218722200394,-793855679.006,-6595161.7185,9,5,"{'max_depth': 9, 'min_child_weight': 5}",12,-539434107.592,-5123733.51747,-1246456158.78,-7716300.03867,-901040522.07,-5789863.19482,-353566926.839,-5655325.24148,-928780679.753,-8690586.60005,33.3884149052,0.0817175592743,314046194.686,1367088.57312
