,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,195551.046875,8347.74243273,195697.815625,2047.77903307
1,193726.29375,8293.85276224,193861.45625,2033.23202275
2,191899.7375,8249.0381966,192034.925,2003.43316134
3,190107.10625,8197.4958989,190227.590625,1985.57657891
4,188341.025,8138.24448517,188434.946875,1971.76414339
5,186573.13125,8093.89759995,186667.428125,1952.9050303
6,184825.946875,8045.96565189,184917.49375,1939.61604339
7,183093.165625,8005.26299205,183179.346875,1925.95133155
8,181362.015625,7979.32136455,181457.940625,1903.52773403
9,179675.6125,7944.15295443,179745.86875,1887.34858407
10,178009.115625,7918.9813062,178065.034375,1864.42479771
11,176372.4625,7869.72443592,176403.953125,1849.28585963
12,174744.584375,7835.69154006,174758.696875,1835.28779266
13,173115.128125,7817.01619249,173124.2125,1819.38215463
14,171496.346875,7751.96430295,171503.434375,1812.36742765
15,169897.028125,7678.89857081,169893.503125,1803.30227861
16,168306.89375,7644.39484622,168297.178125,1781.4202029
17,166759.4,7587.94480981,166727.915625,1769.84655335
18,165230.2,7541.94040046,165181.765625,1753.13481852
19,163706.740625,7518.26816942,163646.61875,1747.82094102
20,162210.821875,7486.71708427,162127.365625,1731.73786486
21,160699.8375,7458.45686465,160618.365625,1719.78236557
22,159213.853125,7415.97529707,159127.1875,1704.50611125
23,157747.296875,7382.00795474,157641.559375,1685.99268119
24,156303.590625,7345.5238044,156187.721875,1675.21344411
25,154856.696875,7285.24028477,154731.41875,1673.2836681
26,153430.396875,7244.17580444,153294.3375,1658.68885006
27,152011.29375,7198.94985521,151870.725,1652.52138731
28,150616.959375,7165.62314378,150473.59375,1643.15387667
29,149216.971875,7116.8002526,149076.209375,1635.53669432
30,147854.896875,7076.43616201,147699.59375,1625.81076063
31,146504.234375,7017.40734742,146335.5625,1614.95203081
32,145172.29375,6976.54186365,144990.978125,1589.7701176
33,143844.015625,6944.86003378,143656.690625,1576.83351054
34,142536.609375,6914.57583261,142327.28125,1567.11973342
35,141248.121875,6842.86631947,141017.478125,1559.44016161
36,139964.453125,6803.53990632,139725.09375,1538.26490688
37,138711.2625,6759.84849649,138434.61875,1519.49736359
38,137427.809375,6725.77217665,137161.646875,1504.70878028
39,136160.4,6699.72630677,135894.91875,1489.10404816
40,134941.851563,6656.18862505,134649.44375,1481.3445776
41,133725.01875,6619.22357641,133406.434375,1460.87271803
42,132512.696875,6583.18618202,132183.707813,1450.04011367
43,131327.648438,6518.83314509,130982.04375,1448.35217761
44,130169.53125,6473.42657899,129780.5625,1437.62027048
45,129011.290625,6448.93258343,128595.6125,1425.98724816
46,127848.867188,6438.75054573,127416.40625,1414.71730713
47,126705.76875,6416.39322336,126247.464062,1400.36946957
48,125575.235938,6397.19045398,125095.5625,1389.43710166
49,124454.2625,6368.95207789,123953.8875,1379.12099788
50,123334.646875,6349.18073905,122810.782813,1363.53069221
51,122229.332813,6335.99951012,121687.01875,1346.14615181
52,121155.795313,6303.05985342,120579.785938,1334.97331882
53,120082.729688,6258.66108851,119486.034375,1312.31528046
54,119021.665625,6225.61946118,118399.003125,1294.85555132
55,117983.815625,6206.40583424,117326.66875,1286.60896042
56,116961.384375,6192.029038,116256.804688,1269.02424442
57,115929.671875,6166.47091716,115201.5125,1255.20614453
58,114907.957813,6146.14697955,114153.214062,1254.92017335
59,113891.45625,6118.10092612,113118.545312,1241.83518207
60,112893.379687,6086.62102244,112096.409375,1233.18383813
61,111893.373437,6062.47996096,111072.2,1224.20416784
62,110934.464063,6048.37045804,110067.870312,1219.18429487
63,109957.645313,6032.72768526,109064.582812,1205.55141152
64,109004.815625,6007.94734334,108086.589063,1196.90258094
65,108057.142187,5981.75084233,107112.18125,1186.88516601
66,107088.215625,5936.69021445,106138.035937,1182.62447846
67,106146.4625,5894.99219104,105180.571875,1172.94091537
68,105217.221875,5868.22776743,104227.948437,1166.93583669
69,104289.146875,5853.25426666,103287.153125,1150.98268711
70,103400.229688,5845.75614527,102359.171875,1134.52236521
71,102511.292187,5814.65397426,101435.728125,1135.99323405
72,101628.23125,5797.6013641,100528.109375,1119.00765637
73,100750.676563,5776.76017985,99629.2078124,1103.29994691
74,99878.14375,5747.77597951,98729.3234374,1093.3420486
75,99006.8687498,5712.31935542,97845.471875,1086.57851107
76,98166.8687498,5691.65375256,96966.6156252,1076.78968885
77,97335.2078124,5657.26436295,96107.659375,1060.51924156
78,96499.4375002,5623.42135908,95244.4515624,1051.06407112
79,95687.2671876,5600.14980454,94398.2453124,1035.27537016
80,94864.0156254,5582.15301807,93557.8109378,1024.36276768
81,94054.421875,5547.63832745,92723.8265624,1014.4905239
82,93269.396875,5523.02784855,91903.2421876,1003.30896141
83,92473.8421876,5495.76189167,91085.1609374,997.179673753
84,91678.3640628,5469.41247106,90271.3687498,989.1332742
85,90902.0281248,5447.72272041,89466.35625,985.14159066
86,90135.3468752,5431.99961043,88680.0171876,979.14962071
87,89366.3343746,5400.0287609,87887.0796872,975.270827753
88,88616.415625,5382.3471869,87110.7015626,968.144794791
89,87874.3875002,5366.23665365,86338.8609376,957.705767858
