,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,195538.459375,8332.25494419,195699.9625,2050.06041292
1,193704.88125,8277.61745718,193851.596875,2028.70225552
2,191885.425,8239.93568271,192026.4125,2010.22500688
3,190080.45625,8196.06091149,190222.409375,1985.20317075
4,188311.353125,8132.28264631,188435.709375,1970.49815931
5,186549.028125,8082.74103755,186660.975,1959.31715247
6,184809.884375,8050.79240778,184914.325,1947.01205703
7,183071.771875,8006.70718298,183179.0375,1935.60054426
8,181392.16875,7971.71164665,181469.21875,1921.88268685
9,179689.26875,7945.5916511,179764.878125,1904.24156876
10,178023.86875,7917.76517168,178087.303125,1892.03868553
11,176343.978125,7888.45690876,176420.25625,1872.1447599
12,174697.13125,7837.23790448,174763.590625,1865.18265766
13,173073.896875,7791.93985554,173127.009375,1857.12880732
14,171473.30625,7751.4008002,171515.30625,1843.38006743
15,169871.290625,7695.31565409,169916.88125,1822.20716916
16,168271.484375,7640.84641734,168324.675,1810.43706533
17,166705.08125,7577.84844817,166754.11875,1795.13644447
18,165170.63125,7522.03676853,165195.0875,1786.04894159
19,163644.915625,7491.35131376,163655.353125,1765.13695911
20,162125.725,7449.08588424,162130.36875,1742.37004359
21,160615.56875,7408.0922493,160623.246875,1729.02463367
22,159132.978125,7367.51465066,159131.0125,1713.02912769
23,157648.303125,7316.96081161,157653.99375,1705.51195538
24,156210.165625,7280.54592155,156192.496875,1685.7309469
25,154774.34375,7249.94361164,154737.35,1666.51337673
26,153340.303125,7233.3121079,153291.84375,1643.89113418
27,151904.65,7205.93414393,151863.69375,1620.42395213
28,150498.95625,7164.66018795,150445.69375,1608.73127556
29,149121.30625,7104.97590161,149044.54375,1591.82714087
30,147742.040625,7076.11114623,147661.95625,1572.09728052
31,146376.528125,7049.63465994,146295.16875,1547.58508937
32,145048.978125,7008.35230812,144943.578125,1537.29164451
33,143727.109375,6990.97772682,143603.103125,1516.99779068
34,142398.334375,6938.3619724,142269.13125,1500.07566764
35,141095.446875,6910.62702987,140951.509375,1485.37700406
36,139800.68125,6871.75723074,139640.615625,1473.93970208
37,138529.348437,6843.57962439,138352.26875,1457.50744428
38,137257.089063,6813.29732205,137075.828125,1447.01820589
39,136011.160937,6797.57362996,135813.875,1439.19872143
40,134767.226562,6762.6996384,134558.5,1426.85493775
41,133549.934375,6723.33301606,133321.26875,1409.72572851
42,132341.125,6691.41424398,132096.05625,1398.73367702
43,131155.270312,6666.11642256,130889.175,1385.0218184
44,129966.821875,6648.99193074,129678.865625,1373.72422536
45,128790.75,6600.04747153,128480.690625,1366.07440202
46,127631.396875,6564.95268311,127306.935938,1360.44096395
47,126500.328125,6524.70658649,126144.44375,1352.39005997
48,125352.846875,6487.8602745,124986.317187,1343.73769879
49,124223.19375,6443.3482348,123842.554688,1334.38609052
50,123112.885937,6409.25792443,122706.270312,1330.44025459
51,122008.285937,6377.59590534,121584.748438,1318.38788557
52,120908.423438,6342.77789786,120475.4,1312.54370225
53,119833.3875,6304.40141207,119372.229687,1300.35395086
54,118763.664063,6269.41853092,118280.939063,1291.7510155
55,117698.5375,6235.84022788,117202.95625,1284.68869766
56,116638.003125,6204.78464554,116132.348438,1276.17595945
57,115595.295312,6172.11605953,115073.175,1260.58996475
58,114560.717187,6133.91991082,114023.0875,1252.42269057
59,113548.178125,6116.63835502,112989.229688,1239.14503613
60,112539.467188,6091.2187036,111960.967188,1228.25848381
61,111546.21875,6080.42352261,110941.175,1211.00946824
62,110584.307813,6037.33450223,109936.792187,1197.67620412
63,109604.948438,5997.37178521,108938.982812,1192.13992661
64,108636.398438,5977.93939605,107952.014063,1176.73734789
65,107687.659375,5953.5392961,106974.407812,1165.78153926
66,106742.539063,5928.14274225,106007.603125,1155.56686651
67,105812.940625,5901.19954108,105051.94375,1150.95420011
68,104881.459375,5872.01738289,104104.201562,1142.55676184
69,103970.779687,5843.55014509,103171.695312,1134.1536359
70,103043.789062,5817.18811937,102243.5375,1119.94246514
71,102148.464062,5799.9080885,101324.967187,1118.75378419
72,101271.323437,5760.2785755,100417.032812,1111.47053116
73,100386.634375,5732.11148231,99510.7203124,1101.6019698
74,99512.6687502,5712.41666742,98613.7375,1094.30454496
75,98648.253125,5687.04465938,97731.0984374,1087.14310198
76,97783.79375,5662.2174405,96855.9328124,1073.85377939
77,96947.928125,5642.53422852,95995.6031248,1063.55403793
78,96118.9093748,5625.69381601,95139.2375,1057.27890432
79,95285.4984374,5608.06474942,94286.3437498,1049.21356318
80,94466.7828122,5591.73239672,93446.68125,1042.78134971
81,93651.7859376,5559.33970967,92614.7140624,1034.7850221
82,92850.0406248,5527.1125093,91791.984375,1027.03694591
83,92052.9359376,5519.76621338,90972.596875,1011.63515081
84,91269.2156252,5494.49970728,90166.396875,1005.56656973
85,90483.0374998,5460.15427655,89363.3828124,1004.45809623
86,89727.2390626,5437.20537919,88566.6437498,990.92880611
87,88969.6515626,5418.49004518,87785.3046876,980.198025788
88,88220.9218748,5401.37247282,87010.9249996,966.800480278
89,87486.3671876,5394.85826134,86243.9953126,956.290971092
90,86749.1984376,5387.50999764,85480.85625,943.106606031
91,86008.7734376,5375.7750579,84722.9328126,933.498990567
92,85284.6406254,5362.05271244,83975.3546872,925.749732496
93,84573.7421874,5344.47008806,83237.8734374,916.755564024
94,83849.0984376,5329.65394545,82505.428125,904.164406036
95,83145.8593748,5310.13061539,81783.3859374,898.009159549
96,82457.7640628,5302.48688442,81065.5703124,897.301697333
97,81766.04375,5278.41237551,80355.2640626,890.523804908
98,81080.7484376,5264.18562164,79651.7203124,878.381818587
99,80414.6296878,5249.06401511,78957.5500002,877.213413463
100,79736.321875,5221.38449662,78265.6499998,870.859374704
101,79099.146875,5204.84185578,77582.8140624,864.057828968
102,78453.528125,5177.49499032,76911.3875,855.813574212
103,77816.1375,5167.62759939,76249.559375,846.360755696
104,77182.6937502,5149.02805758,75586.9374998,833.517846118
105,76558.61875,5130.07969117,74928.9281252,825.285908748
106,75938.6906252,5121.5422603,74288.4062502,812.340566018
107,75328.5249998,5095.89521705,73644.5593752,810.733439204
108,74712.9140624,5066.57144677,73005.94375,803.789390377
109,74106.546875,5051.25245543,72368.4171876,798.898742758
110,73523.5796876,5039.442558,71751.0625,790.469917292
111,72943.8078128,5032.9565586,71136.1515622,784.645851275
112,72363.5984376,5006.16321048,70522.365625,782.932789611
113,71800.8445312,4994.69037176,69918.3234374,776.740329299
114,71229.1624998,4985.0769052,69320.5265626,768.184534263
115,70681.2945314,4965.87991766,68732.1749998,760.715978893
116,70125.0992188,4949.74829968,68146.1,757.181010426
117,69574.4914058,4951.57134778,67565.7015628,745.771132518
118,69022.1992188,4940.07006618,66985.9734376,741.348742447
119,68482.2765622,4936.47878172,66410.3109374,733.35444888
120,67966.2523438,4926.25664308,65846.327344,729.693814627
121,67443.3734374,4918.70009679,65279.8789062,724.60041558
122,66938.6921872,4904.63882446,64732.5945314,715.854920866
123,66415.9812502,4903.68641402,64186.6796876,699.181531744
124,65888.019531,4889.56666243,63640.596875,691.433337688
125,65376.6742184,4874.80574696,63101.9234374,680.272511952
126,64878.2054688,4863.70718956,62568.8070312,670.942865741
127,64386.178125,4859.67669787,62038.4039062,665.164743327
128,63900.6031248,4851.44944256,61516.1257812,658.230002629
129,63419.1703124,4837.69708307,61000.7703126,650.276679486
130,62953.5929688,4832.25083032,60487.577344,643.60414109
131,62478.6273438,4815.40114621,59982.6046874,638.13782695
132,62019.074219,4807.86815078,59485.5999998,632.186275291
133,61562.6671876,4783.41516195,58994.2390624,628.627603086
134,61091.4476562,4766.24633663,58500.2304688,626.343569922
135,60628.6179688,4756.37774438,58017.365625,621.469832788
136,60177.7218752,4744.01355864,57536.1703124,620.369483816
137,59721.7945312,4731.3952728,57062.0859372,622.451938684
138,59284.634375,4727.0106439,56589.7218748,616.041831695
139,58848.7999998,4715.65609077,56127.8039064,608.699382818
140,58425.825,4705.46287731,55666.9148438,600.910452135
141,58011.2007812,4698.14096454,55214.0445314,595.76120528
142,57590.8796874,4688.63921807,54756.66875,588.452515879
143,57173.6078124,4675.15786112,54305.865625,585.432590074
144,56770.5226564,4667.83565113,53862.509375,579.727788862
145,56369.2726562,4662.98628549,53426.2078124,573.76408596
146,55966.6953124,4653.03689705,52985.8210938,572.431601821
147,55572.025,4648.98551026,52558.290625,571.609006839
148,55173.6859376,4645.39185253,52131.7578126,563.957644515
149,54798.8164062,4640.90137759,51714.6953124,561.830457765
150,54408.86875,4626.06362922,51300.7828124,562.796876268
151,54031.202344,4615.15028213,50888.8578126,556.206692434
152,53656.8617188,4607.31926621,50475.7132814,554.747194767
153,53295.0476564,4600.50534686,50073.0976562,546.712228418
154,52937.6492186,4592.15202294,49674.4664064,536.649921532
155,52582.60625,4592.48489147,49279.3929688,536.355884821
156,52224.78125,4585.77971096,48883.6929688,532.12642856
157,51869.9867188,4569.15540767,48496.1921876,528.211947867
158,51520.95,4559.81783889,48111.8226562,527.093257932
159,51161.346094,4541.19239051,47727.0539062,524.708337301
160,50818.3140626,4539.85635123,47350.2445312,516.915492067
161,50481.5164062,4537.78215614,46977.2523436,513.154567682
162,50159.6023436,4528.28330721,46607.5617188,509.571458678
163,49827.6812502,4513.85334666,46240.9757814,508.252878656
164,49505.1257812,4500.68382858,45878.5507814,503.042041926
165,49199.0648436,4497.74138994,45519.3398438,501.31646542
166,48892.2953124,4498.66247549,45170.1382812,498.338611054
167,48591.1671876,4491.07378164,44819.3898436,494.367688904
168,48271.1179686,4482.62773623,44468.084375,490.9153397
169,47979.9570312,4473.70051582,44124.2023436,490.919039903
170,47672.2335938,4448.06014203,43779.1703126,488.432150798
171,47379.5132812,4447.15354891,43443.6054686,481.631103128
