,test-rmse-mean,test-rmse-std,train-rmse-mean,train-rmse-std
0,196476.621875,8361.37348739,196635.265625,2060.68959111
1,195569.046875,8340.9408466,195713.509375,2046.44834622
2,194650.265625,8309.68734203,194788.43125,2040.52235279
3,193732.246875,8286.96880401,193872.321875,2033.57050665
4,192826.2875,8261.2971536,192957.715625,2027.99077417
5,191919.55,8232.77869166,192048.271875,2015.78660628
6,191012.146875,8199.08621488,191147.10625,2006.74370219
7,190115.978125,8160.50258885,190246.43125,1997.40698158
8,189226.1625,8139.15375201,189352.128125,1992.68668887
9,188342.746875,8113.98060148,188456.93125,1976.87065598
10,187461.75,8083.81764815,187575.471875,1971.50925113
11,186574.378125,8049.46431964,186688.525,1967.65045031
12,185710.63125,8009.20859149,185815.4,1960.15536632
13,184842.4625,7985.75765471,184945.0125,1950.77531303
14,183988.903125,7960.95309806,184078.7625,1939.29004171
15,183130.178125,7929.96490462,183216.5625,1930.59941598
16,182280.828125,7904.48106654,182357.89375,1922.42674025
17,181426.29375,7880.00867896,181500.6125,1914.01585845
18,180589.278125,7851.73986329,180652.515625,1908.27437112
19,179752.028125,7825.83890074,179804.9625,1900.48721181
20,178913.1875,7790.99686199,178961.64375,1895.43963347
21,178075.259375,7769.13353512,178123.6625,1885.10368999
22,177242.8,7748.47778739,177289.959375,1882.74343
23,176421.23125,7721.97045235,176459.5125,1874.73635736
24,175611.1125,7698.20171214,175634.28125,1869.88169514
25,174807.534375,7676.68781211,174812.46875,1861.73549882
26,173994.859375,7653.67504182,173993.975,1855.40286206
27,173187.075,7631.20685085,173183.534375,1845.77206136
28,172390.375,7596.45566292,172374.378125,1841.92753645
29,171589.265625,7575.33386575,171571.74375,1842.06780847
30,170798.278125,7558.75905785,170769.890625,1830.27597491
31,170008.740625,7536.08427565,169974.690625,1823.45225831
32,169224.553125,7517.86580929,169181.128125,1814.12437963
33,168439.75625,7496.99313399,168396.53125,1806.25191455
34,167670.246875,7465.76522024,167606.778125,1801.64518073
