mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_reg_alpha,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
341.092110586,0.26739616394,-677003456.671,-43470136.0123,1e-05,{'reg_alpha': 1e-05},6,-527880984.086,-45815466.2152,-1007004452.95,-44415152.6126,-787920100.663,-38356047.1529,-455808196.381,-45812291.6924,-606403549.277,-42951722.3886,3.78315321236,0.0108250892802,198671770.207,2767742.07297
345.470988703,0.298595237732,-677003434.447,-43470136.2755,0.0001,{'reg_alpha': 0.0001},5,-527880976.608,-45815466.9107,-1007004452.95,-44415152.6614,-787920100.206,-38356047.0649,-455808162.84,-45812292.1632,-606403479.632,-42951722.5772,6.60630746344,0.0311411738092,198671783.697,2767742.29931
337.410990238,0.286833810806,-677003420.943,-43470138.8614,0.001,{'reg_alpha': 0.001},4,-527880972.92,-45815470.3219,-1007004441.49,-44415155.9355,-787920037.374,-38356049.5401,-455808165.279,-45812294.2009,-606403487.654,-42951724.3086,12.5026274446,0.0342357902748,198671772.314,2767742.46632
350.883769989,0.301785039902,-677003399.061,-43470148.6108,0.01,{'reg_alpha': 0.01},3,-527881019.45,-45815479.4697,-1007004433.2,-44415164.0074,-787919944.377,-38356054.6114,-455808179.171,-45812302.4993,-606403419.108,-42951742.4661,4.88229469555,0.0449114125392,198671753.97,2767743.41802
362.56717639,0.26628036499,-677003361.489,-43470220.1822,0.1,{'reg_alpha': 0.1},2,-527881007.574,-45815541.0606,-1007004301.66,-44415243.5772,-787919819.26,-38356122.2002,-455808061.053,-45812377.1261,-606403617.899,-42951816.947,21.9024098136,0.0311961252401,198671710.259,2767744.15269
412.483780241,0.156561517715,-677003034.647,-43470909.5766,1,{'reg_alpha': 1},1,-527880646.014,-45816256.2671,-1007003945.05,-44415962.7821,-787919154.147,-38356793.026,-455807705.269,-45813035.9203,-606403722.757,-42952499.8873,3.185969464,0.0814661926003,198671643.574,2767752.48779
